FragmentID, NarrID, SessionStartDate, SessionEndDate, ServerEntryDate,40Working,40Sleeping,40PreparingFood,4.0-X,4.0-Y,4.0-Notapplicable,41DysfunctionalInstitutions,41LowLivingStandards,41LackHhealthyEnvironment,4.1-X,4.1-Y,4.1-Notapplicable,42BetterQualityLife,42BetterEducationChildren,42BetterAccessHealthSocialServices,4.2-X,4.2-Y,4.2-Notapplicable,43GlobalNetwork,43NetworkAcquaintances,43NumerousFacilitatingFactors ,4.3-X,4.3-Y,4.3-Notapplicable,51aNotImportant,51a,5.1a-X,51bNotImportant,51b,5.1b-X,51cNotImportant,51c,5.1c-X,51dNotImportant,51d,5.1d-X,51eNotImportant,51e,5.1e-X,51fNotImportant,51f,5.1f-X,51gNotImportant,51g,5.1g-X,51hNotImportant,51h,5.1h-X,CollectorID,ConsentToParticipate,ConsentToShareStory,11,2.1 Where did the person in your story move to?,2.2 Where did the person in your story move to?,"2.3 When the person in your story first left, did that person intend to migrate …",2.3 Other,"2.4 If the person in your story returned to where they previously lived, what was the main reason?",2.4 Other,3.1 How do you know the person in your story?,3.1 Other,3.2 What is the gender of the person in your story?,3.3 How old is the person in your story?,3.4 What municipality does this person come from?,3.5 What area is this person from originally?,3.6 What is the ethnic origin of the person in your story?,3.6 Other,3.7 What is this person’s marital status?,3.8 What is the highest education level obtained by this person?,3.9 What was this person’s professional/occupational status before moving?,39Student,39Unemployed,39ManualWorker,39CivilServant,39EmployedPrivateSector,39SelfEmployed,39FreelanceConsultancy,39YouDoNotKnow,39Other,3.9 Other,3.10 What type of residential space did this person live prior to moving?,3.10 Other,4.4 To the best of your knowledge the person who moved was/is…,4.5 Situations like these…,52CommunitiesHavingCommonVisionFuture,52AbilityToOwnCar,52AbilityToHaveRegularHolidays,52RequirementForRegularQualificationTestss,52AvailabilityApplyStateSocialSupport,52Other,5.2 Other,6.1 What is your gender?,6.2 What age are you?,6.3 What municipality do you come from?,6.4 What area do you live in now?,6.5 What is your ethnic origin?,65Other,6.6 What is your marital status?,6.7 What is the highest education level obtained?,6.8 What is your profession/occupation?,68Student,68Unemployed,68ManualWorker,68CivilServant,68EmployedPrivateSector,68SelfEmployed,68FreelanceConsultancy,68Other,68Other,6.9 What type of residential space do you live in?,69Other,6.10 Do you receive any social benefits?,6.11 Do you receive remittances from abroad?,Experience,Title,TitleEN,54FutureMacedonia ,54FutureMacedoniaEN ,ProjectID,ApplicationName,SessionID,Latitude,Longitude,Accuracy,Altitude,Bearing,Speed,Time,Language
c11b8b3e-6b55-4166-b4a9-154282a8a662,228,,2020/02/18 18:15:25.507,2020/02/18 18:15:26.947,19.418375,18.803421,61.778206,0.71179914,0.1628376,,12.750451,74.78632,12.463225,0.4985639,0.6476496,,73.20483,11.965813,14.829361,0.2081227,0.10362393,,69.56292,14.10257,16.334515,0.23385799,0.122128226,,31.41005,68.59,0.6858995,44.951714,55.048286,0.55048287,31.236435,68.763565,0.68763566,32.97255,67.02745,0.6702745,36.965603,63.034397,0.630344,0.8544922,99.14551,0.9914551,7.798934,92.201065,0.92201066,41.826714,58.173286,0.58173287,13,Agree,Agree,A situation of someone you know who moved to another part of North Macedonia or to another country and permanently STAYED (or intend to stay) there.,Another country,Urban (city),Permanently,,The did not return,,He/she is a relative,,Male,45-54,Кавадарци,Urban (city),Macedonian,,Married/Living together,Secondary,Unemployed,,1,,,,,,,,,Lived with parents,,Happy they moved,Happen all the time,1,,,,,,,Female,20-24,Градско,Urban (city),Macedonian,,Single,Vocational,Unemployed,,1,,,,,,,,,,No,Yes,"Имам роднини кои живеат во Франција од 1991година. Живееа 18 години во Париз. Имаат приватен бизнис. Од 2009 година поради економски лошата состојба која ја зафати Франција се преселуваат во Амберт, град во Франција близу до Швајцарија и го селат комплетно својот бизнис таму. Роднините велеа дека во најскора прилика ќе се преселат во Швајцарија. Од егзистенција и борба за живот во Париз сега е речиси милионер откако својот бизнис го префрли во Швајцарија.",Франција - Швајцарија,France - Switzerland,"Држава во која владее правото, има здрава животна средина и добра патна инфраструктура","Rule of law, healthy environment and good road infrastrucutre",undp_da_ge,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.106 Safari/537.36",03142613-2610-4a23-80db-49b400472894,,,,,,,,mk
6c9f4855-41e2-4065-b6a6-082fe88a2993,235,,2020/02/19 10:01:36.255,2020/02/19 10:01:37.947,10.137993,83.33333,6.528677,0.4819534,0.72166663,,44.28424,45.29914,10.416618,0.3306619,0.39229056,,33.817307,33.76068,32.422012,0.4930235,0.29236752,,12.3528,75.21368,12.433523,0.5004036,0.65135044,,0.2626598,99.74,0.9973734,1.9868016,98.0132,0.980132,2.8488696,97.15113,0.9715113,2.8488696,97.15113,0.9715113,3.7109375,96.28906,0.9628906,8.021283,91.978714,0.91978717,0.2626598,99.73734,0.9973734,0.2626598,99.73734,0.9973734,11,Agree,Disagree,A situation of someone you know who moved to another part of North Macedonia or to another country and permanently STAYED (or intend to stay) there.,Another country,Urban (city),Permanently,,The did not return,,He/she is a close family member,,Female,35-44,Гостивар,Urban (city),Macedonian,,Married/Living together,Secondary,Manual worker,,,1,,,,,,,,Lived with parents,,Happy they moved,Happen all the time,,1,1,1,,,,Female,35-44,Гостивар,Urban (city),Macedonian,,Married /Living together,Vocational,PrivateSector,,,,,1,,,,,,,No,No,The participant did not agree to share the experience.,За подобра иднина,For better future,"да нема корупција,да биде слободна и богата","No corruption, independent and rich country",undp_da_ge,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-J330FN) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/10.2 Chrome/71.0.3578.99 Mobile Safari/537.36",be74eb5b-9d2e-4b76-8725-e2116c7fb977,,,,,,,,mk
88d4ae16-5cfb-470d-b6b5-5321f84dd306,136,,2020/02/19 10:10:55.524,2020/02/19 10:10:56.885,65.572914,14.529915,19.897173,0.27162132,0.12582906,,7.8853393,81.19658,10.918084,0.5151637,0.7031624,,73.80769,12.820511,13.371801,0.19782057,0.11102563,,13.0711,78.205124,8.723777,0.47826338,0.6772564,,1.9868016,98.01,0.980132,0.2626598,99.73734,0.9973734,0.2626598,99.73734,0.9973734,4.5730057,95.426994,0.95426995,1.9868016,98.0132,0.980132,0.2626598,99.73734,0.9973734,1.1247277,98.875275,0.9887527,1.9868016,98.0132,0.980132,11,Agree,Disagree,A situation of someone you know who moved to another part of North Macedonia or to another country and permanently STAYED (or intend to stay) there.,Another country,Urban (city),Permanently,,Family emergency,,He/she is a close family member,,Female,25-34,Гостивар,Urban (city),Macedonian,,Married/Living together,Secondary,Manual worker,,,1,,,,,,,,A private house (owned),,Happy they moved,Happen all the time,1,,,,,,,Female,55 and older,Гостивар,Urban (city),Macedonian,,Married /Living together,Higher professional program,PrivateSector,,,,,1,,,,,,,No,No,The participant did not agree to share the experience.,отишол ради мажачка,Gone to get married,"безбедна,слободна и без корумпирана власт","Safe, independent and its government is not corrrupted",undp_da_ge,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Linux; Android 9; SM-J330FN Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/79.0.3945.136 Mobile Safari/537.36 [FB_IAB/Orca-Android;FBAV/249.0.0.10.122;]",7add2d7c-2d6d-4802-9203-3047f19c55c2,,,,,,,,mk
de3c9fda-8f60-485b-b478-7a59da226090,111,,2020/02/19 10:31:29.311,2020/02/19 10:31:30.949,33.234623,34.188034,32.57734,0.49671355,0.29606837,,6.9525733,86.752144,6.2952886,0.49671355,0.75127345,,16.903053,16.666672,66.430275,0.7476361,0.14433335,,18.437428,15.811965,65.75061,0.73656595,0.13693164,,10.607487,89.39,0.89392513,8.021283,91.978714,0.91978717,18.36611,81.63389,0.8163389,10.607487,89.39251,0.89392513,33.021282,66.978714,0.66978717,1.9868016,98.0132,0.980132,14.055765,85.94424,0.85944235,20.090246,79.90975,0.79909754,1,Agree,Agree,A situation of someone you know who moved to another part of North Macedonia or to another country and permanently STAYED (or intend to stay) there.,Another country,Urban (city),Permanently,,The did not return,,He/she is a relative,,Female,35-44,Чаир,Urban (city),Albanian,,Married/Living together,Secondary,Unemployed,,1,,,,,,,,,A private house (owned),,Happy they moved,Happen all the time,,,1,,,,,Female,20-24,Чаир,Urban (city),Albanian,,Single,Secondary,PrivateSector,,,,,1,,,,,,,No,No,Мојата тетка  живеше тука во македонија та беше невработена  во 39 години отиде и се омажена во турција  таму живее со нефовиот маж и нема деца,Жена што омажена во турција,Woman married in Turkey,Да е една држава што има и работи според законот да нема неправдноста  да нема корупција,"Rule of law, no injustice and no corruption",undp_da_ge,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Linux; Android 7.1.1; SM-J510FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Mobile Safari/537.36",d276ef82-fb9b-4aa6-8eb1-9a7be8e71b66,,,,,,,,mk
5b2a3920-2e75-4c04-8924-fbea3501d363,249,,2020/02/19 10:34:16.862,2020/02/19 10:34:18.641,67.3407,18.37607,14.283238,0.23471272,0.15913677,,12.41197,74.35897,13.22906,0.5040854,0.64394873,,73.381165,13.675201,12.943636,0.19781235,0.11842724,,75.63381,15.811965,8.55422,0.16460203,0.13693164,,2.5764644,97.42,0.97423536,4.766244,95.23376,0.95233756,4.766244,95.23376,0.95233756,23.744345,76.25565,0.76255655,16.445076,83.554924,0.83554924,5.496174,94.50382,0.94503826,5.496174,94.50382,0.94503826,7.685953,92.31405,0.92314047,21,Agree,Agree,A situation of someone you know who moved to another part of North Macedonia or to another country and permanently STAYED (or intend to stay) there.,Another country,Urban (city),Permanently,,The did not return,,He/she is a friend,,Female,45-54,Битола,Urban (city),Macedonian,,Married/Living together,Secondary,Unemployed,,1,,,,,,,,,A private house (owned),,Happy they moved,Happen all the time,1,1,1,,,,,Female,45-54,Битола,Urban (city),Macedonian,,Married /Living together,Secondary,PrivateSector,,,,,1,,,,,,,No,No,Се работи за моја другарка која се отсели со две големи деца на 47 год.се обиде да најде работа бидејќи не беше вработена а бараше работа на некои места .Реши да извади бугарски пасош и заминаја со сопругот во Шведска.,Многу повозрасни луѓе поради невработеност се иселуваат,Even elderly emigrate because of unemployment,Поголема вработеност за сите,Higher employment,undp_da_ge,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Linux; Android 9; SM-A750FN Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/74.0.3729.136 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/256.0.0.39.117;]",09a01add-219a-4985-88a1-30e4963e9620,,,,,,,,mk
7344d54b-168e-4c88-a101-f8a37f11ff9e,190,,2020/02/19 10:40:17.079,2020/02/19 10:40:15.089,62.111767,35.47711,2.4111218,0.20149677,0.3072318,,9.485117,82.05331,8.461582,0.49488232,0.7105816,,74.888596,11.540474,13.570934,0.19341171,0.09994049,,,,,,,1,10.589462,89.41,0.8941054,4.1047215,95.89528,0.9589528,5.030644,94.96935,0.94969356,4.5676827,95.43232,0.9543232,4.5676827,95.43232,0.9543232,5.4936113,94.506386,0.9450639,3.1787932,96.821205,0.96821207,5.4936113,94.506386,0.9450639,20,Agree,Agree,A situation of someone you know who moved to another part of North Macedonia or to another country and permanently STAYED (or intend to stay) there.,Another country,Urban (city),Permanently,,The did not return,,He/she is a friend,,Male,25-34,Струмица,Urban (city),Macedonian,,Single,Bachelor or equivalent,Private sector,,,,,1,,,,,,A flat (owned),,Happy they moved,Happen all the time,,1,1,,,,,Female,25-34,Струмица,Urban (city),Macedonian,,Single,Bachelor or equivalent,PrivateSector,,,,,1,,,,,,,No,No,"Мојот пријател долго време чекаше бугарски пасош затоа што сакаше да замине од државата за да има подобар живот. Бугарски пасош не доби, но доби работна виза. Претходно работеше во приватна фирма, а откако се исели во Германија е угостителски работник. Веќе е 3 години таму и е презадоволен од животот таму. Живее со својата свршеница во изнајмен стан.",Подобар живот,Better life,"Европска држава, правична, богата и модерна","European country, fair, rich and modern",undp_da_ge,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Linux; Android 4.4.4; A1-840) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.99 Safari/537.36",4ea5d5d0-3048-457f-a519-ce2e16e8b797,,,,,,,,mk
6c01b79e-243e-486d-8d75-91fc90818a25,132,,2020/02/19 10:44:23.816,2020/02/19 10:44:25.502,75.80887,13.247849,10.943289,0.17567213,0.11472636,,69.050095,14.957269,15.992639,0.23471272,0.12952994,,11.563581,11.111108,77.32532,0.82880867,0.096222214,,10.857903,78.205124,10.936975,0.50039536,0.6772564,,4.0363193,95.96,0.9596368,1.846534,98.153465,0.98153466,5.496174,94.50382,0.94503826,2.5764644,97.42354,0.97423536,3.3063889,96.69361,0.9669361,4.0363193,95.963684,0.9596368,9.875732,90.12427,0.9012427,5.496174,94.50382,0.94503826,21,Agree,Agree,A situation of someone you know who moved to another part of North Macedonia or to another country and permanently STAYED (or intend to stay) there.,Another country,Urban (city),Permanently,,The did not return,,He/she is a friend,,Female,25-34,Битола,Urban (city),Macedonian,,Married/Living together,Secondary,Student,1,,,,,,,,,,A private house (owned),,Happy they moved,Happen all the time,1,1,1,,,,,Female,25-34,Битола,Urban (city),Macedonian,,Single,Secondary,Manual worker,,,1,,,,,,,,,No,No,"Се работи за моја другарка која пред два месеци се пресели во Австрија.Девојчето има 25 год.се отсели бидејќи се омажи во Австрија за момче кое што беше исто заминато за подобри услови за живот.Сега тие таму почнаа од ,,нула''",Многу млади ја напуштаат нашата држава,Many young people leave out country,Подобри услови за живот за младите,Better living conditions for young people,undp_da_ge,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Linux; Android 9; SM-A750FN Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/74.0.3729.136 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/256.0.0.39.117;]",a47210b4-74de-4eb6-bd78-2503f29ae8b3,,,,,,,,mk
8d83cc19-f672-40c1-82e0-db20dd486f5e,91,,2020/02/19 10:51:42.647,2020/02/19 10:51:44.793,74.81772,11.538466,13.643819,0.19413054,0.0999231,,13.343118,76.92308,9.733801,0.4819534,0.66615385,,14.197821,75.21368,10.588504,0.4819534,0.65135044,,11.304143,74.35897,14.336887,0.5151637,0.64394873,,3.7109375,96.29,0.9628906,2.8488696,97.15113,0.9715113,1.9868016,98.0132,0.980132,6.2971473,93.70285,0.9370285,5.4350734,94.564926,0.94564927,3.7109375,96.28906,0.9628906,3.7109375,96.28906,0.9628906,7.159215,92.84078,0.92840785,11,Agree,Agree,A situation of someone you know who moved to another part of North Macedonia or to another country and permanently STAYED (or intend to stay) there.,Another country,Urban (city),Permanently,,The did not return,,He/she is a close family member,,Male,25-34,Гостивар,Rural (village),Albanian,,Married/Living together,Higher professional program,Manual worker,,,1,,,,,,1,Сезонски,Lived with parents,,Unhappy they moved,Happen all the time,1,,,,,,,Female,35-44,Гостивар,Urban (city),Albanian,,Married /Living together,Higher professional program,Civil cervant,,,,1,,,,1,Министерство за образование,,,No,No,"Мојот брат ја напушти државата има завршено факултет англиски ,не можеше да најде работа по струка ,работеше приватно како молер не осигуран.",За подобар живот мораше да ја напушти државата,Had to leave the country for better life,"да има повеќе работни места ,добра плата и добра иднина за нашите деца","Higher employment, higher salaries and better future for our children",undp_da_ge,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Linux; Android 9; SM-J330FN Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/79.0.3945.136 Mobile Safari/537.36 [FB_IAB/Orca-Android;FBAV/249.0.0.10.122;]",6e7a06bf-8d2f-47bb-a100-a462a310e581,,,,,,,,mk
1a14168f-7cc7-4020-bab6-5b2345d9cd5c,260,,2020/02/19 10:54:18.981,2020/02/19 10:54:16.967,,,,,,1,,,,,,1,48.381725,0.21769714,51.400585,0.5150943,0.0018852304,,62.86461,36.33583,0.79956055,0.18967476,0.3146683,,3.6417544,96.36,0.96358246,1.7899036,98.2101,0.98210096,0.4010141,99.59898,0.99598986,1.3269424,98.67306,0.9867306,0.86398125,99.13602,0.9913602,2.2528708,97.74713,0.9774713,4.1047215,95.89528,0.9589528,3.1787932,96.821205,0.96821207,20,Agree,Agree,A situation of someone you know who moved to another part of North Macedonia or to another country and permanently STAYED (or intend to stay) there.,Another country,Urban (city),Temporarily (other),,The did not return,,He/she is a relative,,Female,25-34,Струмица,Urban (city),Macedonian,,Single,Bachelor or equivalent,Student,1,,,,,,,,,,Lived with parents,,Happy they moved,Happen all the time,1,,,1,,,,Female,45-54,Струмица,Urban (city),Macedonian,,Widowed,Bachelor or equivalent,PrivateSector,,,,,1,,,,,,,No,No,"Студентка во годината пред дипломирање доби понуда од Германија за склучување повремен договор за работа на проект поврзан со нејзините студии по архитектура. При подготовка на документите имаше потешкотии поради македонскиот пасош, но со ангажирање на германската фирма успеа со добивање дозвола за престој за работа на проектот. Проектот траеше десет месеци, но по увидените нејзини способности, ја задржаа во Германија и остана да живее таму.",Подобра животна перспектива,Better life perspective,Со повеќе сестрани можности за младите,More opportunities for the young people,undp_da_ge,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Linux; Android 4.4.4; A1-840) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.99 Safari/537.36",e57b8b17-9906-45cb-b876-8ef7bea6b4f4,,,,,,,,mk
54288b3a-d785-42c4-b590-956945514b75,150,,2020/02/19 10:57:03.756,2020/02/19 10:57:05.735,18.010895,16.666672,65.32243,0.7365577,0.14433335,,11.401946,75.64102,12.957033,0.5077754,0.65505123,,72.39084,11.965813,15.643347,0.21626253,0.10362393,,70.2738,13.247864,16.478336,0.23102269,0.11472651,,5.496174,94.50,0.94503826,1.1166096,98.88339,0.9888339,0.38668513,99.61331,0.99613315,3.3063889,96.69361,0.9669361,7.685953,92.31405,0.92314047,10.605663,89.39434,0.89394337,6.956023,93.043976,0.9304398,13.525367,86.47463,0.86474633,21,Agree,Agree,A situation of someone you know who moved to another part of North Macedonia or to another country and permanently STAYED (or intend to stay) there.,Another country,Urban (city),Seasonally,,The did not return,,He/she is a friend,,Female,25-34,Битола,Urban (city),Macedonian,,Single,Bachelor or equivalent,Unemployed,,1,,,,,,,,,A private house (owned),,Happy they moved,Happen all the time,1,1,1,,,,,Female,25-34,Битола,Urban (city),Macedonian,,Single,Vocational,Manual worker,,,1,,,,,,,,,No,No,"Моја најблиска другарка дипломиран економист,на свои 24години ,која што не беше вработена замина во Германија да работи во Mc'donalds.Ми недостига но знам колку и беше тешко да живее тука како невработена",Млади и образовани се иселуваат секојдневно,Young and educated are leaving every day,Вработување за сите високопбразовани луѓе,Employment for all people with higher education,undp_da_ge,"SenseMakerÂ New WebCollector; Mozilla/5.0 (Linux; Android 9; SM-A750FN Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/74.0.3729.136 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/256.0.0.39.117;]",f5c9bc1e-4283-44e6-9881-e8baebade661,,,,,,,,mk
